thumb-index,index-middle,middle-ring,ring-pinky,class
101.13099,46.13336,37.73993,41.7117,five
112.66686,47.2389,38.66781,43.00886,five
112.36446,47.33904,38.45875,42.99578,five
111.88034,47.5633,38.61645,42.98936,five
112.19218,46.90525,38.86707,42.78621,five
103.89522,48.86057,38.37423,42.2398,five
109.00758,47.92946,36.75346,42.81263,five
110.95876,44.56255,37.88086,43.76327,five
109.83582,46.87885,36.6445,43.18105,five
119.09346,48.85289,37.6378,45.19656,five
73.70835,18.57385,24.42182,66.9313,five
103.90955,48.8963,40.68491,45.10258,five
107.41997,46.30996,40.52605,45.68385,five
23.80573,86.00223,35.58754,41.28169,four
21.00243,87.8282,35.55268,40.96392,four
104.91452,53.01441,103.97009,13.08838,two
112.3071,53.03633,118.87112,15.06054,two
105.26265,46.66701,110.89587,14.52658,two
104.64258,49.08388,108.04636,16.32592,two
90.77374,56.19508,71.95628,13.20944,two
104.73875,43.37247,36.63841,40.37803,five
105.33524,44.07876,37.31566,40.71809,five
105.74503,44.18879,37.31445,40.58467,five
